regional_master,date_field,sales
50000575,2019-08-25,9282.60000000002
50000575,2019-09-01,10061.3
50000575,2019-09-08,10957.520000000017
50000575,2019-09-15,8594.66
50000575,2019-09-22,9242.980000000014
50000575,2019-09-29,9858.13
50000575,2019-10-06,9603.90000000001
50000575,2019-10-13,10238.589999999993
50000575,2019-10-20,11563.169999999996
50000575,2019-10-27,11281.640000000009
50000575,2019-11-03,9668.150000000012
50000575,2019-11-10,9027.71
50000575,2019-11-17,10801.420000000013
50000575,2019-11-24,13967.769999999997
50000575,2019-12-01,13670.399999999996
50000575,2019-12-08,20641.29
50000575,2019-12-15,16041.140000000009
50000575,2019-12-22,17570.139999999985
50000575,2019-12-29,16364.499999999987
50000575,2020-01-05,15220.969999999994
50000575,2020-01-12,10926.87
50000575,2020-01-19,7089.739999999998
50000575,2020-01-26,6377.799999999999
50000575,2020-02-02,6027.259999999997
50000575,2020-02-09,4860.41
50000575,2020-02-16,4233.319999999999
50000575,2020-02-23,4684.809999999998
50000575,2020-03-01,0.01
50000575,2020-03-08,0.01
50000575,2020-03-15,0.01
50000575,2020-03-22,0.01
50000575,2020-03-29,0.01
50000575,2020-04-05,0.01
50000575,2020-04-12,0.01
50000575,2020-04-19,0.01
50000575,2020-04-26,0.01
50000575,2020-05-03,0.01
50000575,2020-05-10,0.01
50000575,2020-05-17,0.01
50000575,2020-05-24,0.01
50000575,2020-05-31,0.01
50000575,2020-06-07,0.01
50000575,2020-06-14,0.01
50000575,2020-06-21,0.01
50000575,2020-06-28,0.01
50000575,2020-07-05,0.01
50000575,2020-07-12,0.01
50000575,2020-07-19,0.01
50000575,2020-07-26,0.01
50000575,2020-08-02,0.01
50000575,2020-08-09,0.01
50000575,2020-08-16,0.01
50000575,2020-08-23,0.01
50000575,2020-08-30,0.01
50000575,2020-09-06,0.01
50000575,2020-09-13,0.01
50000575,2020-09-20,0.01
50000575,2020-09-27,0.01
50000575,2020-10-04,0.01
50000575,2020-10-11,0.01
50000575,2020-10-18,0.01
50000575,2020-10-25,0.01
50000575,2020-11-01,0.01
50000575,2020-11-08,0.01
50000575,2020-11-15,0.01
50000575,2020-11-22,0.01
50000575,2020-11-29,0.01
50000575,2020-12-06,0.01
50000575,2020-12-13,0.01
50000575,2020-12-20,0.01
50000575,2020-12-27,0.01
50000575,2021-01-03,0.01
50000575,2021-01-10,0.01
50000575,2021-01-17,0.01
50000575,2021-01-24,0.01
50000575,2021-01-31,0.01
50000575,2021-02-07,0.01
50000575,2021-02-14,0.01
50000575,2021-02-21,0.01
50000575,2021-02-28,0.01
50000575,2021-03-07,0.01
50000575,2021-03-14,0.01
50000575,2021-03-21,0.01
50000575,2021-03-28,0.01
50000575,2021-04-04,0.01
50000575,2021-04-11,0.01
50000575,2021-04-18,0.01
50000575,2021-04-25,0.01
50000575,2021-05-02,0.01
50000575,2021-05-09,0.01
50000575,2021-05-16,0.01
50000575,2021-05-23,0.01
50000575,2021-05-30,0.01
50000575,2021-06-06,0.01
50000575,2021-06-13,0.0
50000575,2021-06-20,0.01
50000575,2021-06-27,0.01
50000575,2021-07-04,0.01
50000575,2021-07-11,0.01
50000575,2021-07-18,0.01
50000575,2021-07-25,0.01
50000575,2021-08-01,0.01
50000575,2021-08-08,0.01
50000575,2021-08-15,0.01
50000575,2021-08-22,0.01
50000575,2021-08-29,0.01
50000575,2021-09-05,0.01
50000575,2021-09-12,0.01
50000575,2021-09-19,0.01
